,0,1,2,3,4,5,6,7,8
2205,0.45231,0.80533,0.44045,0.5687,0.80185,0.45418,0.68865,0.80663,0.46629
2206,0.45199,0.80501,0.44002,0.56837,0.80163,0.45399,0.68807,0.80621,0.46629
2207,0.45165,0.80515,0.43996,0.56764,0.80139,0.45389,0.68728,0.80619,0.46603
2208,0.45052,0.80545,0.4399,0.56716,0.80196,0.4538,0.68681,0.80599,0.46605
2209,0.45042,0.80598,0.43979,0.56723,0.80251,0.45368,0.68632,0.8068,0.46609
2210,0.45004,0.80592,0.43967,0.5666,0.80275,0.45367,0.68567,0.80723,0.46601
2211,0.45002,0.80599,0.43974,0.56561,0.80226,0.45368,0.68522,0.80718,0.4659
2212,0.44901,0.8061,0.4401,0.56586,0.80286,0.45388,0.6851,0.80716,0.46603
2213,0.44884,0.80561,0.4399,0.56546,0.80226,0.45387,0.68469,0.80681,0.46629
2214,0.44837,0.8059,0.43987,0.5647,0.8021,0.45385,0.68423,0.8067,0.4663
2215,0.44798,0.80592,0.4398,0.56489,0.80277,0.45392,0.68419,0.80669,0.46641
2216,0.44796,0.80567,0.43949,0.5644,0.80237,0.45384,0.68359,0.80652,0.46661
2217,0.44728,0.80594,0.43938,0.56352,0.80258,0.45378,0.68315,0.80674,0.46656
2218,0.44625,0.8056,0.43914,0.56346,0.80287,0.45364,0.68234,0.80683,0.46656
2219,0.44627,0.80569,0.43935,0.56215,0.80213,0.45366,0.68107,0.80675,0.46663
2220,0.44642,0.8062,0.43913,0.56175,0.80263,0.45367,0.681,0.80667,0.4667
2221,0.44487,0.80638,0.4395,0.562,0.80358,0.4541,0.68086,0.80733,0.46722
2222,0.44401,0.80605,0.43989,0.56077,0.80261,0.45408,0.6798,0.80725,0.46739
2223,0.44239,0.80531,0.43991,0.5587,0.80196,0.45479,0.6779,0.8067,0.46794
2224,0.4421,0.80564,0.43991,0.55827,0.80188,0.45476,0.67702,0.80646,0.46824
2225,0.44125,0.80644,0.43956,0.558,0.8034,0.4547,0.67658,0.80721,0.4684
2226,0.43906,0.80647,0.43948,0.5571,0.80341,0.45463,0.67554,0.80721,0.46857
2227,0.43798,0.80603,0.43929,0.55502,0.80258,0.45471,0.67287,0.80715,0.46865
2228,0.43704,0.80597,0.43913,0.55297,0.80233,0.45482,0.67112,0.807,0.4687
2229,0.43522,0.80711,0.43916,0.55144,0.80343,0.45491,0.67031,0.80741,0.46907
2230,0.43309,0.80677,0.43906,0.55012,0.80398,0.45515,0.66783,0.80796,0.46968
2231,0.43171,0.80647,0.4393,0.54807,0.80279,0.45509,0.66631,0.80778,0.4695
2232,0.42839,0.80643,0.43955,0.54531,0.80289,0.45543,0.66416,0.8075,0.46972
2233,0.42716,0.80644,0.43939,0.54384,0.80302,0.45582,0.66216,0.80726,0.4704
2234,0.42465,0.80681,0.43909,0.54181,0.80329,0.45619,0.65993,0.80773,0.47119
2235,0.42283,0.80672,0.43951,0.53941,0.80327,0.45638,0.65786,0.80799,0.47144
2236,0.42072,0.80679,0.43969,0.53765,0.80319,0.4567,0.65568,0.80791,0.47193
2237,0.41924,0.80686,0.43992,0.53609,0.80316,0.45739,0.65321,0.8075,0.47299
2238,0.41648,0.80665,0.44042,0.53303,0.80266,0.45792,0.65112,0.80735,0.47354
2239,0.41378,0.80648,0.44099,0.53025,0.8028,0.45904,0.6482,0.80715,0.47478
2240,0.411,0.80621,0.44135,0.5283,0.80247,0.4597,0.64505,0.8065,0.47587
2241,0.40781,0.80611,0.44149,0.52421,0.80248,0.46007,0.64185,0.80691,0.47639
2242,0.40599,0.80664,0.4418,0.52249,0.80287,0.46082,0.63886,0.807,0.47772
2243,0.4025,0.8067,0.44238,0.51923,0.80308,0.46154,0.63637,0.80705,0.47843
2244,0.39913,0.8065,0.44311,0.51577,0.80268,0.46264,0.6331,0.80684,0.47943
2245,0.39551,0.80603,0.44349,0.51344,0.80243,0.46313,0.62886,0.8064,0.48077
2246,0.39196,0.80637,0.44348,0.50933,0.80225,0.46379,0.62494,0.8067,0.48159
2247,0.38961,0.80669,0.44401,0.50537,0.80306,0.46449,0.62205,0.80704,0.48214
2248,0.38585,0.80715,0.44435,0.50234,0.80368,0.4656,0.61855,0.80705,0.4838
2249,0.38194,0.80663,0.44588,0.49834,0.80308,0.46664,0.61439,0.80723,0.48481
2250,0.37839,0.80643,0.44686,0.49371,0.80283,0.46834,0.60962,0.80673,0.48675
2251,0.37596,0.80654,0.44779,0.49042,0.80302,0.46936,0.60551,0.80679,0.4882
2252,0.37201,0.80671,0.44867,0.48808,0.80333,0.47042,0.60321,0.80683,0.48938
2253,0.36893,0.80683,0.4497,0.48416,0.80308,0.47186,0.59907,0.8067,0.49138
2254,0.36641,0.80693,0.45064,0.48208,0.80305,0.47292,0.59545,0.80684,0.49298
2255,0.36239,0.80663,0.4522,0.47788,0.80317,0.47449,0.59059,0.80692,0.49474
2256,0.35871,0.80666,0.45312,0.47503,0.80306,0.47548,0.5879,0.80715,0.49594
2257,0.35455,0.807,0.45417,0.47052,0.80329,0.47695,0.58342,0.80739,0.49751
2258,0.35205,0.8071,0.45493,0.46572,0.80368,0.47833,0.57978,0.80743,0.49869
2259,0.34813,0.80721,0.45592,0.46265,0.80391,0.47943,0.57535,0.80768,0.50056
2260,0.34428,0.80737,0.45715,0.4589,0.80361,0.4807,0.57126,0.80782,0.50201
2261,0.3403,0.80724,0.45827,0.45461,0.80386,0.48242,0.56823,0.80765,0.50344
2262,0.33649,0.80733,0.45942,0.45039,0.80369,0.48408,0.56401,0.8075,0.50557
2263,0.33391,0.80727,0.46028,0.44824,0.80357,0.48484,0.56003,0.8074,0.50697
2264,0.32889,0.80729,0.46205,0.44422,0.8036,0.48665,0.55575,0.80734,0.50935
2265,0.32633,0.8075,0.46283,0.43989,0.80372,0.48823,0.55143,0.80754,0.51106
2266,0.32236,0.80723,0.46408,0.43765,0.80386,0.48933,0.54885,0.80777,0.51245
2267,0.31866,0.80732,0.46511,0.43196,0.80369,0.49117,0.54419,0.80763,0.5141
2268,0.31593,0.80742,0.46582,0.42903,0.80412,0.49225,0.54143,0.80774,0.51514
2269,0.31068,0.80718,0.46726,0.42508,0.80387,0.49342,0.53726,0.80784,0.51656
2270,0.30714,0.80757,0.46819,0.42114,0.80393,0.49467,0.53288,0.80786,0.51808
2271,0.30154,0.80738,0.46982,0.41671,0.80416,0.49666,0.52877,0.80773,0.52011
2272,0.299,0.80741,0.47068,0.41267,0.80393,0.49799,0.52406,0.80797,0.5217
2273,0.29543,0.80759,0.4713,0.41016,0.80411,0.4989,0.5216,0.80782,0.52295
2274,0.29159,0.80742,0.47302,0.40624,0.80443,0.5004,0.51759,0.80804,0.52449
2275,0.28652,0.8078,0.47383,0.40393,0.80437,0.50082,0.51493,0.8081,0.52513
2276,0.28212,0.80797,0.47518,0.39847,0.80492,0.50318,0.50916,0.80829,0.52761
2277,0.27741,0.80764,0.47661,0.39528,0.80467,0.50409,0.50593,0.80806,0.52871
2278,0.27485,0.80756,0.47704,0.39129,0.80413,0.5053,0.50158,0.80756,0.53015
